naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
31,Manufacturing,311,Food Manufacturing,3118,Bakeries and Tortilla Manufacturing,31181,Bread and Bakery Product Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3151,Apparel Knitting Mills,31511,Hosiery and Sock Mills
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32221,Paperboard Container Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",32562,Toilet Preparation Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying"
33,Manufacturing,333,Machinery Manufacturing,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,337,Furniture and Related Product Manufacturing,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33712,Household and Institutional Furniture Manufacturing
44,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers,4441,Building Material and Supplies Dealers,44419,Other Building Material Dealers
48,Transportation and Warehousing,482,Rail Transportation,4821,Rail Transportation,48211,Rail Transportation
51,Information,511,Publishing Industries (except Internet),5111,"Newspaper, Periodical, Book, and Directory Publishers",51112,Periodical Publishers
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5231,Securities and Commodity Contracts Intermediation and Brokerage,52313,Commodity Contracts Dealing
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",54162,Environmental Consulting Services
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5621,Waste Collection,56211,Waste Collection
62,Health Care and Social Assistance,622,Hospitals,6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,62231,Specialty (except Psychiatric and Substance Abuse) Hospitals
81,Other Services (except Public Administration),811,Repair and Maintenance,8111,Automotive Repair and Maintenance,81111,Automotive Mechanical and Electrical Repair and Maintenance
92,Public Administration,923,Administration of Human Resource Programs,9231,Administration of Human Resource Programs,92312,Administration of Public Health Programs
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,11212,Dairy Cattle and Milk Production
31,Manufacturing,311,Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31142,"Fruit and Vegetable Canning, Pickling, and Drying"
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31521,Cut and Sew Apparel Contractors
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32221,Paperboard Container Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3254,Pharmaceutical and Medicine Manufacturing,32541,Pharmaceutical and Medicine Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3279,Other Nonmetallic Mineral Product Manufacturing,32799,All Other Nonmetallic Mineral Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",33313,Mining and Oil and Gas Field Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3341,Computer and Peripheral Equipment Manufacturing,33411,Computer and Peripheral Equipment Manufacturing
33,Manufacturing,337,Furniture and Related Product Manufacturing,3372,Office Furniture (including Fixtures) Manufacturing,33721,Office Furniture (including Fixtures) Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4242,Drugs and Druggists Sundries Merchant Wholesalers,42421,Drugs and Druggists Sundries Merchant Wholesalers
44,Retail Trade,443,Electronics and Appliance Stores,4431,Electronics and Appliance Stores,44311,Appliance Television and Other Electronics Stores
45,Retail Trade,454,Nonstore Retailers,4543,Direct Selling Establishments,45439,Other Direct Selling Establishments
51,Information,519,Other Information Services,5191,Other Information Services,51913,Internet Publishing and Broadcasting and Web Search Portals
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5411,Legal Services,54111,Offices of Lawyers
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56145,Credit Bureaus
72,Accommodation and Food Services,722,Food Services and Drinking Places,7223,Special Food Services,72233,Mobile Food Services
92,Public Administration,921,"Executive, Legislative, and Other General Government Suppor",9211,"Executive, Legislative, and Other General Government Suppor",92111,Executive Offices
81,Other Services (except Public Administration),811,Repair and Maintenance,8111,Automotive Repair and Maintenance,81112,"Automotive Body, Paint, Interior, and Glass Repair"
92,Public Administration,925,"Administration of Housing Programs, Urban Planning, and Community Developmen",9251,"Administration of Housing Programs, Urban Planning, and Community Developmen",92511,Administration of Housing Programs
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21221,Iron Ore Mining
23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23815,Glass and Glazing Contractors
31,Manufacturing,311,Food Manufacturing,3115,Dairy Product Manufacturing,31152,Ice Cream and Frozen Dessert Manufacturing
31,Manufacturing,314,Textile Product Mills,3149,Other Textile Product Mills,31499,All Other Textile Product Mills
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31529,Other Cut and Sew Apparel Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32513,Synthetic Dye and Pigment Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing"
33,Manufacturing,331,Primary Metal Manufacturing,3313,Alumina and Aluminum Production and Processing,33131,Alumina and Aluminum Production and Processing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3322,Cutlery and Handtool Manufacturing,33221,Cutlery and Handtool Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33291,Metal Valve Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3341,Computer and Peripheral Equipment Manufacturing,33411,Computer and Peripheral Equipment Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3352,Household Appliance Manufacturing,33522,Major Household Appliance Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3364,Aerospace Product and Parts Manufacturing,33641,Aerospace Product and Parts Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4233,Lumber and Other Construction Materials Merchant Wholesalers,42331,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4247,Petroleum and Petroleum Products Merchant Wholesalers,42471,Petroleum Bulk Stations and Terminals
44,Retail Trade,448,Clothing and Clothing Accessories Stores,4481,Clothing Stores,44815,Clothing Accessories Stores
48,Transportation and Warehousing,487,Scenic and Sightseeing Transportation,4871,"Scenic and Sightseeing Transportation, Land",48711,"Scenic and Sightseeing Transportation, Land"
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52222,Sales Financing
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5419,"Other Professional, Scientific, and Technical Services",54194,Veterinary Services
62,Health Care and Social Assistance,622,Hospitals,6221,General Medical and Surgical Hospitals,62211,General Medical and Surgical Hospitals
81,Other Services (except Public Administration),812,Personal and Laundry Services,8121,Personal Care Services,81219,Other Personal Care Services
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11193,Sugarcane Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",211,Oil and Gas Extraction,2111,Oil and Gas Extraction,21112,Crude Petroleum Extraction
23,Construction,237,Heavy and Civil Engineering Construction,2371,Utility System Construction,23711,Water and Sewer Line and Related Structures Construction
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31135,Chocolate and Confectionery Manufacturing
32,Manufacturing,321,Wood Product Manufacturing,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
32,Manufacturing,325,Chemical Manufacturing,3259,Other Chemical Product and Preparation Manufacturing,32591,Printing Ink Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying"
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33329,Other Industrial Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,336,Transportation Equipment Manufacturing,3362,Motor Vehicle Body and Trailer Manufacturing,33621,Motor Vehicle Body and Trailer Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33999,All Other Miscellaneous Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42447,Meat and Meat Product Merchant Wholesalers
44,Retail Trade,446,Health and Personal Care Stores,4461,Health and Personal Care Stores,44611,Pharmacies and Drug Stores
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4851,Urban Transit Systems,48511,Urban Transit Systems
51,Information,515,Broadcasting (except Internet),5151,Radio and Television Broadcasting,51511,Radio Broadcasting
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5239,Other Financial Investment Activities,52392,Portfolio Managemen
53,Real Estate and Rental and Leasing,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),53311,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6211,Offices of Physicians,62111,Offices of Physicians
72,Accommodation and Food Services,721,Accommodation,7212,RV (Recreational Vehicle) Parks and Recreational Camps,72121,RV (Recreational Vehicle) Parks and Recreational Camps
